0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
29   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/shubhanshu/blacklight/search_app/jetty/contexts at interval 0
44   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/shubhanshu/blacklight/search_app/jetty/contexts/solr.xml
109  [main] INFO  org.eclipse.jetty.webapp.WebInfConfiguration  – Extract jar:file:/home/shubhanshu/blacklight/search_app/jetty/webapps/solr.war!/ to /home/shubhanshu/blacklight/search_app/jetty/solr-webapp/webapp
1833 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
1919 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
1946 [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
1947 [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /home/shubhanshu/blacklight/search_app/jetty/solr
1947 [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/shubhanshu/blacklight/search_app/jetty/solr/'
1949 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shubhanshu/blacklight/search_app/jetty/solr/lib/solr-analysis-extras-4.9.0.jar' to classloader
1949 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shubhanshu/blacklight/search_app/jetty/solr/lib/solr-langid-4.9.0.jar' to classloader
1950 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shubhanshu/blacklight/search_app/jetty/solr/lib/solr-clustering-4.9.0.jar' to classloader
1950 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shubhanshu/blacklight/search_app/jetty/solr/lib/contrib/' to classloader
2074 [main] INFO  org.apache.solr.core.ConfigSolr  – Loading container configuration from /home/shubhanshu/blacklight/search_app/jetty/solr/solr.xml
2351 [main] INFO  org.apache.solr.core.CoreContainer  – New CoreContainer 298840026
2353 [main] INFO  org.apache.solr.core.CoreContainer  – Loading cores into CoreContainer [instanceDir=/home/shubhanshu/blacklight/search_app/jetty/solr/]
2356 [main] INFO  org.apache.solr.core.CoreContainer  – loading shared library: /home/shubhanshu/blacklight/search_app/jetty/solr/lib
2357 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shubhanshu/blacklight/search_app/jetty/solr/lib/solr-analysis-extras-4.9.0.jar' to classloader
2357 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shubhanshu/blacklight/search_app/jetty/solr/lib/solr-langid-4.9.0.jar' to classloader
2357 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shubhanshu/blacklight/search_app/jetty/solr/lib/solr-clustering-4.9.0.jar' to classloader
2358 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shubhanshu/blacklight/search_app/jetty/solr/lib/contrib/' to classloader
2379 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting socketTimeout to: 0
2379 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting urlScheme to: null
2383 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting connTimeout to: 0
2383 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxConnectionsPerHost to: 20
2384 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting corePoolSize to: 0
2384 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maximumPoolSize to: 2147483647
2384 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxThreadIdleTime to: 5
2384 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting sizeOfQueue to: -1
2385 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting fairnessPolicy to: false
2665 [main] INFO  org.apache.solr.logging.LogWatcher  – SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
2666 [main] INFO  org.apache.solr.logging.LogWatcher  – Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
2667 [main] INFO  org.apache.solr.core.CoreContainer  – Host Name: 
2708 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/shubhanshu/blacklight/search_app/jetty/solr/blacklight-core/'
2765 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrConfig  – Adding specified lib dirs to ClassLoader
2766 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/shubhanshu/blacklight/search_app/jetty/solr/lib/contrib/analysis-extras/lib/morfologik-fsa-1.7.1.jar' to classloader
